created_at;q;st;score;doc
2026-06-09 20:32:43.171929+00;Télétravail supprimé — le CSE peut s'y opposer ?;decret;0.291;Décret n° 2025-1381 du 26 décembre 2025 relatif aux instances de dialogue social et à la négociation collective au sein 
2026-06-09 20:32:43.171929+00;Télétravail supprimé — le CSE peut s'y opposer ?;accord_branche;0.283;Accords de branche — Syntec (IDCC 1486)
2026-06-09 20:32:43.171929+00;Télétravail supprimé — le CSE peut s'y opposer ?;accord_branche;0.283;Accords de branche — Syntec (IDCC 1486)
2026-06-09 20:32:43.171929+00;Télétravail supprimé — le CSE peut s'y opposer ?;convention_collective_nationale;0.283;CCN Syntec (IDCC 1486)
2026-06-09 12:32:29.623265+00;Je veux la liste complète, indique la durée de protection pour chacun;decret;0.350;Décret n° 2025-860 du 29 août 2025 fixant les niveaux de prise en charge des contrats d'apprentissage
2026-06-09 12:32:29.623265+00;Je veux la liste complète, indique la durée de protection pour chacun;arrete;0.326;Arrêté du 1er décembre 2025 portant délégation de signature aux agents chargés de l'animation de la politique ministérie
2026-06-09 12:32:29.623265+00;Je veux la liste complète, indique la durée de protection pour chacun;code_sante_publique_reglementaire;0.336;Code de la santé publique — Partie réglementaire
2026-06-09 12:32:29.623265+00;Je veux la liste complète, indique la durée de protection pour chacun;code_securite_sociale;0.336;Code de la sécurité sociale — Partie législative
2026-06-09 12:31:18.55786+00;Il manque encore certains types de salariés;arret_cour_cassation;0.336;Cass. Chambre civile 2, 16/10/2025, n° 23-16.569
2026-06-09 12:31:18.55786+00;Il manque encore certains types de salariés;arret_cour_cassation;0.305;Cass. Chambre sociale, 01/07/2009, n° 08-40.988
2026-06-09 12:31:18.55786+00;Il manque encore certains types de salariés;arret_cour_cassation;0.346;Cass. Chambre sociale, 22/01/2025, n° 23-20.466
2026-06-09 10:03:04.31136+00;pourquoi tu n'inclus pas TOUS LES SALARIÉS PROTÉGÉS ?;arrete;0.326;Arrêté du 26 novembre 2025 modifiant l'arrêté du 12 novembre 2024 relatif aux critères d'affectation du solde de la taxe
2026-06-09 10:02:20.453+00;NON JE VEUX QUE TU FASSES UN TABLEAU INDIQUANT L'ENSEMBLE DES SALARIÉS PROTÉGÉS, LA DURÉE DE PROTECTION ET LES RÉFÉRENCES LEGALES;arrete;0.332;Arrêté du 2 décembre 2025 portant modification de l'arrêté du 17 octobre 1995 modifié relatif à la tarification des risq
2026-06-09 10:02:20.453+00;NON JE VEUX QUE TU FASSES UN TABLEAU INDIQUANT L'ENSEMBLE DES SALARIÉS PROTÉGÉS, LA DURÉE DE PROTECTION ET LES RÉFÉRENCES LEGALES;arret_cour_cassation;0.342;Cass. Chambre sociale, 12/06/2024, n° 23-10.838
2026-06-09 10:02:20.453+00;NON JE VEUX QUE TU FASSES UN TABLEAU INDIQUANT L'ENSEMBLE DES SALARIÉS PROTÉGÉS, LA DURÉE DE PROTECTION ET LES RÉFÉRENCES LEGALES;arret_cour_cassation;0.346;Cass. Chambre sociale, 05/01/2022, n° 20-12.471
2026-06-09 10:02:20.453+00;NON JE VEUX QUE TU FASSES UN TABLEAU INDIQUANT L'ENSEMBLE DES SALARIÉS PROTÉGÉS, LA DURÉE DE PROTECTION ET LES RÉFÉRENCES LEGALES;arret_cour_cassation;0.346;Cass. Chambre sociale, 17/12/2025, n° 23-20.468
2026-06-09 09:58:59.372414+00;Intègre ces éléments dans le tableau et vérifie s'il manque d'autres éléments;code_securite_sociale;0.344;Code de la sécurité sociale — Partie législative
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;arret_cour_cassation;0.295;Cass. Chambre sociale, 17/12/2025, n° 23-20.468
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;code_securite_sociale_reglementaire;0.295;Code de la sécurité sociale — Partie réglementaire
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;code_travail;0.346;Code du travail — Partie législative
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;arret_cour_cassation;0.318;Cass. Chambre sociale, 05/01/2022, n° 20-12.471
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;arret_cour_cassation;0.307;Cass. Chambre sociale, 01/06/2017, n° 16-16.779
2026-06-09 09:52:29.367404+00;Fais moi un nouveau tableau récapitulatif en incluant tous les salariés protégés, la durée de protection et la référence légale;arret_cour_cassation;0.297;Cass. Chambre sociale, 12/06/2024, n° 23-10.838
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;code_travail;0.334;Code du travail — Partie législative
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;arret_cour_cassation;0.346;Cass. Chambre sociale, 15/10/2025, n° 24-60.159
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;arret_cour_cassation;0.318;Cass. Chambre sociale, 31/01/2018, n° 16-17.886
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;arret_cour_cassation;0.322;Cass. Chambre sociale, 22/09/2021, n° 20-16.859
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;arret_cour_cassation;0.338;Cass. Chambre sociale, 13/09/2023, n° 22-14.043
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;code_travail;0.342;Code du travail — Partie législative
2026-06-09 09:47:28.543771+00;Tu as oublié ces statuts : salarié en congé paternité, salarié en grossesse, en congé maternité, élus CSE;arret_cour_cassation;0.342;Cass. Chambre sociale, 17/12/2025, n° 24-20.405
2026-06-07 16:21:13.397016+00;Organiser un archivage sécurisé et daté

